,task_name,run_name,rmt,eval_token_accuracy,eval_token_accuracy,eval_token_accuracy,eval_exact_match,eval_exact_match,eval_exact_match,run_path,lr,mem_size,modification
,,,first,mean,std,list,mean,std,list,first,,,
115,N8-K2V2-V62_1M,original_rmt-vl_llama_L4H4D128-out_layer_-3_mem8_lr3e-04_bs_64_lr_3e-04,True,0.44239999999999996,0.39131289270863534,"[0.7191, 0.1657]",0.2751,0.3466237441376456,"[0.5202, 0.03]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt-vl_llama_L4H4D128-out_layer_-3_mem8_lr3e-04_bs_64_lr_3e-04/run_1,3e-04,8,-
128,N8-K2V2-V62_1M,original_rmt_llama_L4H4D128_mem4_lr1e-04_bs_64_lr_1e-04,True,0.44730000000000003,0.38961583643378767,"[0.1718, 0.7228]",0.2744,0.34676516549388287,"[0.0292, 0.5196]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt_llama_L4H4D128_mem4_lr1e-04_bs_64_lr_1e-04/run_1,1e-04,4,-
122,N8-K2V2-V62_1M,original_rmt_llama_L4H1D128_mem8_lr1e-04_bs_64_lr_1e-04,True,0.36585,0.27442814177849906,"[0.5599, 0.1718]",0.18380000000000002,0.21750604589298203,"[0.3376, 0.03]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt_llama_L4H1D128_mem8_lr1e-04_bs_64_lr_1e-04/run_1,1e-04,8,-
139,N8-K2V2-V62_1M,original_rmt_llama_L4H4D128_mem8_lr1e-04-continue_bs_64_lr_1e-04,True,0.5352344735241679,0.011066650449924189,"[0.5430597771023303, 0.5274091699460053]",0.17994931677997644,0.0884963107033527,"[0.11737297537164411, 0.2425256581883088]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt_llama_L4H4D128_mem8_lr1e-04-continue_bs_64_lr_1e-04/run_1,1e-04,8,continue
118,N8-K2V2-V62_1M,original_rmt-vl_llama_L4H4D128-out_layer_-4_mem8_lr3e-04_bs_64_lr_3e-04,True,0.5283,0.041436457377531676,"[0.499, 0.5576]",0.177,0.054588643507601474,"[0.2156, 0.1384]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt-vl_llama_L4H4D128-out_layer_-4_mem8_lr3e-04_bs_64_lr_3e-04/run_1,3e-04,8,-
110,N8-K2V2-V62_1M,original_rmt-vl_llama_L4H4D128-out_layer_-1_mem8_lr5e-05_bs_64_lr_5e-05,True,0.35615,0.25703331496131004,"[0.5379, 0.1744]",0.16169999999999998,0.18002938649009498,"[0.289, 0.0344]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt-vl_llama_L4H4D128-out_layer_-1_mem8_lr5e-05_bs_64_lr_5e-05/run_1,5e-05,8,-
159,N8-K2V2-V62_1M,original_rmt_llama_L8H4D128_mem8_lr1e-04_bs_64_lr_1e-04,True,0.5415000000000001,0.006646803743153482,"[0.5368, 0.5462]",0.1271,0.002969848480983516,"[0.125, 0.1292]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt_llama_L8H4D128_mem8_lr1e-04_bs_64_lr_1e-04/run_1,1e-04,8,-
120,N8-K2V2-V62_1M,original_rmt_llama_L12H4D128_mem8_lr1e-04_bs_64_lr_1e-04,True,0.49324999999999997,0.05366940469205899,"[0.4553, 0.5312]",0.1163,0.016263455967290587,"[0.1048, 0.1278]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt_llama_L12H4D128_mem8_lr1e-04_bs_64_lr_1e-04/run_1,1e-04,8,-
156,N8-K2V2-V62_1M,original_rmt_llama_L4H4D512_mem8_lr1e-04_bs_64_lr_1e-04,True,0.4135,0.04483056992722712,"[0.3818, 0.4452]",0.0945,0.017677669529663684,"[0.082, 0.107]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt_llama_L4H4D512_mem8_lr1e-04_bs_64_lr_1e-04/run_1,1e-04,8,-
117,N8-K2V2-V62_1M,original_rmt-vl_llama_L4H4D128-out_layer_-4_mem8_lr1e-04_bs_64_lr_1e-04,True,0.344,0.17677669529663687,"[0.219, 0.469]",0.0754,0.04044650788387052,"[0.0468, 0.104]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt-vl_llama_L4H4D128-out_layer_-4_mem8_lr1e-04_bs_64_lr_1e-04/run_1,1e-04,8,-
116,N8-K2V2-V62_1M,original_rmt-vl_llama_L4H4D128-out_layer_-3_mem8_lr5e-05_bs_64_lr_5e-05,True,0.23835,0.10019703089413375,"[0.1675, 0.3092]",0.0689,0.054447222151364154,"[0.0304, 0.1074]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt-vl_llama_L4H4D128-out_layer_-3_mem8_lr5e-05_bs_64_lr_5e-05/run_1,5e-05,8,-
137,N8-K2V2-V62_1M,original_rmt_llama_L4H4D128_mem8_lr1e-04-continue_8-2_0.5_bs_64_lr_1e-04,True,0.6223339141538147,0.2010212019704344,"[0.7644773692293794, 0.4801904590782499]",0.06822572258852727,0.06695196498121457,"[0.11556791104050834, 0.020883534136546186]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt_llama_L4H4D128_mem8_lr1e-04-continue_8-2_0.5_bs_64_lr_1e-04/run_1,1e-04,8,continue
