task_name,folder_tag,base_model,pairs_per_segment,state_size,conv_type,num_memory_vectors,d_mem,learning_rate,avg_em,std_em,all_ems,n_runs
N8-K2V2-V62_1M,recurrent_baselines,gated_delta_net,-1,4.0,ck4,-1,,0.001,9.01,0.62,"(8.88, 8.32, 9.82)",3
N8-K2V2-V62_1M,recurrent_baselines,gated_delta_net,-1,16.0,ck2,-1,,0.001,68.71,39.31,"(93.3, 99.6, 13.24)",3
N8-K2V2-V62_1M,recurrent_baselines,gated_delta_net,-1,16.0,ck4,-1,,0.001,99.27,0.74,"(99.58, 99.98, 98.24)",3
N8-K2V2-V62_1M,recurrent_baselines,gated_delta_net,-1,16.0,noconv,-1,,0.0003,24.09,19.74,"(52.0, 10.56, 9.72)",3
N8-K2V2-V62_1M,recurrent_baselines,gated_delta_net,-1,32.0,ck2,-1,,0.001,95.93,2.57,"(99.56, 93.98, 94.24)",3
N8-K2V2-V62_1M,recurrent_baselines,gated_delta_net,-1,32.0,ck4,-1,,0.001,99.91,0.03,"(99.94, 99.86, 99.92)",3
N8-K2V2-V62_1M,recurrent_baselines,mamba,-1,4.0,ck2,-1,,0.001,97.63,0.13,"(97.46, 97.78, 97.64)",3
N8-K2V2-V62_1M,recurrent_baselines,mamba,-1,4.0,ck4,-1,,0.001,97.41,1.32,"(98.24, 95.54, 98.44)",3
N8-K2V2-V62_1M,recurrent_baselines,mamba,-1,16.0,ck2,-1,,0.001,96.0,5.44,"(99.82, 88.3, 99.88)",3
N8-K2V2-V62_1M,recurrent_baselines,mamba,-1,16.0,ck4,-1,,0.001,99.66,0.12,"(99.5, 99.8, 99.68)",3
N8-K2V2-V62_1M,recurrent_baselines,mamba,-1,16.0,noconv,-1,,0.0003,97.31,2.79,"(98.96, 99.6, 93.38)",3
N8-K2V2-V62_1M,recurrent_baselines,mamba,-1,32.0,ck2,-1,,0.001,99.75,0.17,"(99.8, 99.92, 99.52)",3
N8-K2V2-V62_1M,recurrent_baselines,mamba,-1,32.0,ck4,-1,,0.001,99.5,0.4,"(99.84, 99.72, 98.94)",3
N8-K2V2-V62_1M,recurrent_baselines,mamba2,-1,4.0,ck2,-1,,0.001,62.96,35.57,"(86.72, 89.48, 12.68)",3
N8-K2V2-V62_1M,recurrent_baselines,mamba2,-1,4.0,ck4,-1,,0.001,34.88,44.9,"(3.04, 3.22, 98.38)",3
N8-K2V2-V62_1M,recurrent_baselines,mamba2,-1,16.0,ck2,-1,,0.001,98.05,2.36,"(94.72, 99.72, 99.72)",3
N8-K2V2-V62_1M,recurrent_baselines,mamba2,-1,16.0,ck4,-1,,0.001,98.38,1.43,"(99.12, 99.64, 96.38)",3
N8-K2V2-V62_1M,recurrent_baselines,mamba2,-1,16.0,noconv,-1,,0.0003,88.61,7.43,"(85.84, 98.78, 81.22)",3
N8-K2V2-V62_1M,recurrent_baselines,mamba2,-1,32.0,ck2,-1,,0.001,98.06,2.28,"(99.8, 99.54, 94.84)",3
N8-K2V2-V62_1M,recurrent_baselines,mamba2,-1,32.0,ck4,-1,,0.001,98.97,1.03,"(99.64, 99.76, 97.52)",3
N8-K2V2-V62_1M,rmmv5p2,llama,0,32.0,ck4,1,,0.0001,5.52,0.0,"(5.52,)",1
N8-K2V2-V62_1M,rmmv5p2,llama,1,32.0,ck4,1,,0.0003,15.05,12.15,"(27.2, 2.9)",2
N8-K2V2-V62_1M,rmmv5p2,llama,8,32.0,ck4,1,,0.0001,9.59,0.35,"(9.24, 9.94)",2
N8-K2V2-V62_1M,rmmv5p2,llama,8,32.0,ck4,4,,0.0001,77.88,0.0,"(77.88,)",1
N8-K2V2-V62_1M,rmmv5p4,llama,0,32.0,ck4,1,,0.001,9.54,0.94,"(10.48, 8.6)",2
N8-K2V2-V62_1M,rmmv5p4,llama,1,16.0,ck4,4,,0.0003,95.58,0.0,"(95.58,)",1
N8-K2V2-V62_1M,rmmv5p4,llama,1,16.0,ck4,8,,0.0003,10.44,0.0,"(10.44,)",1
N8-K2V2-V62_1M,rmmv5p4,llama,1,32.0,ck2,4,,0.0001,99.0,0.0,"(99.0,)",1
N8-K2V2-V62_1M,rmmv5p4,llama,1,32.0,ck2,8,,0.0001,85.94,0.0,"(85.94,)",1
N8-K2V2-V62_1M,rmmv5p4,llama,1,32.0,ck4,1,,0.0003,11.17,0.09,"(11.08, 11.26)",2
N8-K2V2-V62_1M,rmmv5p4,llama,1,32.0,ck4,2,,0.0001,69.97,12.25,"(57.72, 82.22)",2
N8-K2V2-V62_1M,rmmv5p4,llama,1,32.0,ck4,4,,0.0001,97.88,0.0,"(97.88,)",1
N8-K2V2-V62_1M,rmmv5p4,llama,1,32.0,ck4,8,,0.0003,98.94,0.0,"(98.94,)",1
N8-K2V2-V62_1M,rmmv5p4,llama,4,32.0,ck4,2,,0.0001,43.5,0.0,"(43.5,)",1
N8-K2V2-V62_1M,segment_baselines,llama,1,,N/A,1,32.0,0.0001,99.07,0.01,"(99.08, 99.06)",2
N8-K2V2-V62_1M,segment_baselines,llama,1,,N/A,1,,0.0003,28.03,2.27,"(30.3, 25.76)",2
N8-K2V2-V62_1M,segment_baselines,llama,1,,N/A,4,32.0,0.0003,99.17,0.13,"(99.04, 99.3)",2
N8-K2V2-V62_1M,segment_baselines,llama,1,,N/A,8,32.0,0.0001,99.08,0.02,"(99.1, 99.06)",2
N8-K2V2-V62_1M,segment_baselines,llama,1,,N/A,8,,0.0003,55.24,42.5,"(97.74, 12.74)",2
N8-K2V2-V62_1M,segment_baselines,llama,2,,N/A,1,32.0,0.0001,99.15,0.09,"(99.06, 99.24)",2
N8-K2V2-V62_1M,segment_baselines,llama,2,,N/A,8,32.0,0.0001,99.23,0.03,"(99.26, 99.2)",2
N8-K2V2-V62_1M,segment_baselines,llama,8,,N/A,1,32.0,0.0001,6.85,0.13,"(6.72, 6.98)",2
N8-K2V2-V62_1M,segment_baselines,llama,8,,N/A,8,32.0,0.0001,36.1,33.16,"(2.94, 69.26)",2
