task_name,folder_tag,base_model,n_layer,n_head,n_embd,state_size,conv_type,num_memory_vectors,read_mode,write_config,pairs_per_segment,learning_rate,avg_em,std_em,all_ems,n_runs
N16-K2V2-V62_1M,recurrent_baselines,mamba2,2,1,256,32.0,ck4,-1,N/A,N/A,-1,0.001,99.81,0.11,"(99.9, 99.88, 99.66)",3
N16-K2V2-V62_1M,recurrent_baselines,mamba2,4,1,64,4.0,ck2,-1,N/A,N/A,-1,0.001,48.44,26.19,"(58.28, 74.44, 12.6)",3
N16-K2V2-V62_1M,recurrent_baselines,mamba2,4,1,64,4.0,ck4,-1,N/A,N/A,-1,0.001,14.39,14.76,"(1.64, 35.08, 6.44)",3
N16-K2V2-V62_1M,recurrent_baselines,mamba2,4,1,64,16.0,ck2,-1,N/A,N/A,-1,0.001,0.05,0.03,"(0.08, 0.02)",2
N16-K2V2-V62_1M,recurrent_baselines,mamba2,4,1,128,16.0,ck2,-1,N/A,N/A,-1,0.001,83.07,6.05,"(88.1, 86.56, 74.56)",3
N16-K2V2-V62_1M,recurrent_baselines,mamba2,4,1,128,16.0,ck4,-1,N/A,N/A,-1,0.001,68.39,43.5,"(6.88, 99.1, 99.2)",3
N16-K2V2-V62_1M,recurrent_baselines,mamba2,4,1,128,32.0,ck4,-1,N/A,N/A,-1,0.0003,99.67,0.23,"(99.9, 99.44)",2
N16-K2V2-V62_1M,recurrent_baselines,mamba2,4,1,128,32.0,ck4,-1,N/A,N/A,-1,0.001,94.0,4.78,"(89.22, 98.78)",2
N16-K2V2-V62_1M,recurrent_baselines,mamba2,4,4,128,16.0,noconv,-1,N/A,N/A,-1,0.0003,36.96,41.44,"(7.46, 7.86, 95.56)",3
N16-K2V2-V62_1M,recurrent_baselines,mamba2,4,4,128,16.0,noconv,-1,N/A,N/A,-1,0.001,6.94,0.2,"(6.86, 6.74, 7.22)",3
N16-K2V2-V62_1M,rmmv5p2,llama,4,4,128,32.0,ck4,1,unpool,pool,1,0.0001,0.79,0.01,"(0.8, 0.78)",2
N16-K2V2-V62_1M,rmmv5p2,llama,4,4,128,32.0,ck4,1,unpool,pool,1,0.0003,0.82,0.22,"(1.04, 0.6)",2
N16-K2V2-V62_1M,rmmv5p2,llama,4,4,128,32.0,ck4,1,unpool,pool,16,0.0001,1.19,0.05,"(1.14, 1.24)",2
